Dataset_ID,Class,TPR,FPR
0,3,0.75,0.08641975308641975
0,6,0.9129287598944591,0.19456066945606695
1,3,0.4642857142857143,0.12345679012345678
1,6,0.8073878627968337,0.29707112970711297
2,3,0.4642857142857143,0.12345679012345678
2,6,0.8021108179419525,0.303347280334728
3,3,0.4642857142857143,0.13580246913580246
3,6,0.8047493403693932,0.29916317991631797
4,3,0.4642857142857143,0.12345679012345678
4,6,0.8100263852242744,0.29707112970711297
CTGAN,3,0.4642857142857143,0.14814814814814814
CTGAN,6,0.8100263852242744,0.29916317991631797
ROS,3,0.7142857142857143,0.07407407407407407
ROS,6,0.8021108179419525,0.29916317991631797
